time,open,low,close,volume
2014-01-02T08:00:00+08:00,39.0,38.0,39.0,543000.0
2014-01-03T08:00:00+08:00,39.1,38.1,38.85,1266100.0
2014-01-06T08:00:00+08:00,39.0,38.1,39.5,3952800.0
2014-01-07T08:00:00+08:00,39.5,38.2,38.2,2179600.0
2014-01-08T08:00:00+08:00,38.5,38.5,39.2,2078100.0
2014-01-09T08:00:00+08:00,39.1,38.5,39.0,177600.0
2014-01-10T08:00:00+08:00,39.0,38.25,39.0,1413300.0
2014-01-13T08:00:00+08:00,39.0,38.5,38.6,1460500.0
2014-01-14T08:00:00+08:00,38.6,38.15,38.5,909800.0
2014-01-15T08:00:00+08:00,38.85,38.3,38.5,342200.0
2014-01-16T08:00:00+08:00,39.0,38.95,39.0,2454400.0
2014-01-17T08:00:00+08:00,39.0,38.5,39.0,653300.0
2014-01-20T08:00:00+08:00,39.0,39.0,39.3,275000.0
2014-01-21T08:00:00+08:00,39.45,38.8,38.8,790900.0
2014-01-22T08:00:00+08:00,39.0,39.0,40.0,2765700.0
2014-01-23T08:00:00+08:00,40.1,39.85,41.55,3055800.0
2014-01-24T08:00:00+08:00,41.55,41.0,41.8,2919600.0
2014-01-27T08:00:00+08:00,41.3,40.0,40.05,1761200.0
2014-01-28T08:00:00+08:00,41.05,39.0,39.0,1996300.0
2014-01-29T08:00:00+08:00,39.05,39.05,39.65,1720600.0
2014-01-30T08:00:00+08:00,39.25,39.0,39.4,2304200.0
2014-02-03T08:00:00+08:00,39.3,38.95,39.1,1068900.0
2014-02-04T08:00:00+08:00,38.7,37.7,37.7,1372900.0
2014-02-05T08:00:00+08:00,38.0,37.75,37.85,952000.0
2014-02-06T08:00:00+08:00,38.0,37.4,37.4,1541000.0
2014-02-07T08:00:00+08:00,38.2,37.8,38.1,2214100.0
2014-02-10T08:00:00+08:00,38.4,38.3,39.95,3419200.0
2014-02-11T08:00:00+08:00,40.2,39.85,40.2,4076100.0
2014-02-12T08:00:00+08:00,40.4,39.4,39.95,2164700.0
2014-02-13T08:00:00+08:00,40.9,40.65,41.6,8116400.0
2014-02-14T08:00:00+08:00,41.55,41.25,41.5,4843600.0
2014-02-17T08:00:00+08:00,41.5,40.0,41.65,2182300.0
2014-02-18T08:00:00+08:00,41.7,41.65,41.8,2897100.0
2014-02-19T08:00:00+08:00,41.8,41.8,42.8,3436300.0
2014-02-20T08:00:00+08:00,43.4,42.8,44.0,4546200.0
2014-02-21T08:00:00+08:00,43.8,43.5,43.8,4981900.0
2014-02-24T08:00:00+08:00,43.75,43.5,44.05,3609600.0
2014-02-25T08:00:00+08:00,44.05,44.05,45.15,6702600.0
2014-02-26T08:00:00+08:00,45.0,44.6,45.1,8367400.0
2014-02-27T08:00:00+08:00,46.0,45.45,46.15,5858900.0
2014-02-28T08:00:00+08:00,46.15,44.3,46.9,21724000.0
2014-03-03T08:00:00+08:00,46.6,46.0,47.65,6513500.0
2014-03-04T08:00:00+08:00,47.5,47.0,49.0,6591800.0
2014-03-05T08:00:00+08:00,49.6,48.95,49.1,8791300.0
2014-03-06T08:00:00+08:00,49.4,49.35,50.05,11730800.0
2014-03-07T08:00:00+08:00,50.05,49.0,49.0,4326300.0
2014-03-10T08:00:00+08:00,49.0,48.8,48.95,2928400.0
2014-03-11T08:00:00+08:00,48.95,48.95,49.0,6109500.0
2014-03-12T08:00:00+08:00,49.0,47.85,48.75,4356000.0
2014-03-13T08:00:00+08:00,49.0,48.0,48.35,3213900.0
2014-03-14T08:00:00+08:00,47.5,47.5,50.0,7884400.0
2014-03-17T08:00:00+08:00,49.9,49.9,51.0,8907530.0
2014-03-18T08:00:00+08:00,51.1,51.0,51.0,9459500.0
2014-03-19T08:00:00+08:00,51.4,50.6,50.8,6987870.0
2014-03-20T08:00:00+08:00,50.8,49.05,49.6,6971210.0
2014-03-21T08:00:00+08:00,49.6,47.0,47.0,34512500.0
2014-03-24T08:00:00+08:00,47.9,47.9,48.5,8511000.0
2014-03-25T08:00:00+08:00,48.0,47.45,48.5,4944300.0
2014-03-26T08:00:00+08:00,48.5,47.8,49.0,6237100.0
