time,open,low,close,volume
2014-01-02T08:00:00+08:00,4.32,4.26,4.37,8860000.0
2014-01-03T08:00:00+08:00,4.37,4.29,4.35,38593000.0
2014-01-06T08:00:00+08:00,4.36,4.34,4.34,50059000.0
2014-01-07T08:00:00+08:00,4.34,4.28,4.3,32005000.0
2014-01-08T08:00:00+08:00,4.28,4.27,4.32,23882000.0
2014-01-09T08:00:00+08:00,4.34,4.28,4.28,8881000.0
2014-01-10T08:00:00+08:00,4.27,4.24,4.24,7276000.0
2014-01-13T08:00:00+08:00,4.23,4.23,4.23,6163000.0
2014-01-14T08:00:00+08:00,4.21,4.19,4.23,8157000.0
2014-01-15T08:00:00+08:00,4.23,4.15,4.17,20491000.0
2014-01-16T08:00:00+08:00,4.18,4.06,4.1,15437000.0
2014-01-17T08:00:00+08:00,4.1,4.09,4.12,22768000.0
2014-01-20T08:00:00+08:00,4.15,4.14,4.15,12108000.0
2014-01-21T08:00:00+08:00,4.16,4.11,4.12,8299000.0
2014-01-22T08:00:00+08:00,4.13,4.13,4.18,28112000.0
2014-01-23T08:00:00+08:00,4.18,4.17,4.25,60771000.0
2014-01-24T08:00:00+08:00,4.25,4.22,4.45,59377000.0
2014-01-27T08:00:00+08:00,4.3,4.26,4.3,33485000.0
2014-01-28T08:00:00+08:00,4.28,4.2,4.21,23876000.0
2014-01-29T08:00:00+08:00,4.23,4.23,4.3,62488000.0
2014-01-30T08:00:00+08:00,4.22,4.19,4.3,71715000.0
2014-02-03T08:00:00+08:00,4.3,4.26,4.29,47926000.0
2014-02-04T08:00:00+08:00,4.25,4.18,4.18,30974000.0
2014-02-05T08:00:00+08:00,4.21,4.21,4.24,47450000.0
2014-02-06T08:00:00+08:00,4.24,4.23,4.25,15991000.0
2014-02-07T08:00:00+08:00,4.29,4.29,4.33,37426000.0
2014-02-10T08:00:00+08:00,4.35,4.35,4.38,34411000.0
2014-02-11T08:00:00+08:00,4.39,4.35,4.38,43884000.0
2014-02-12T08:00:00+08:00,4.38,4.38,4.38,41937000.0
2014-02-13T08:00:00+08:00,4.38,4.36,4.52,31507000.0
2014-02-14T08:00:00+08:00,4.45,4.38,4.39,18786000.0
2014-02-17T08:00:00+08:00,4.4,4.38,4.41,31920000.0
2014-02-18T08:00:00+08:00,4.41,4.4,4.43,45504000.0
2014-02-19T08:00:00+08:00,4.43,4.43,4.61,49177000.0
2014-02-20T08:00:00+08:00,4.65,4.6,4.64,55903000.0
2014-02-21T08:00:00+08:00,4.65,4.6,4.6,22309000.0
2014-02-24T08:00:00+08:00,4.6,4.6,4.63,18138000.0
2014-02-25T08:00:00+08:00,4.64,4.6,4.61,27579000.0
2014-02-26T08:00:00+08:00,4.61,4.5,4.6,62625000.0
2014-02-27T08:00:00+08:00,4.6,4.59,4.65,60515000.0
2014-02-28T08:00:00+08:00,4.65,4.61,4.65,35374000.0
2014-03-03T08:00:00+08:00,4.65,4.52,4.55,9649000.0
2014-03-04T08:00:00+08:00,4.52,4.48,4.51,23092000.0
2014-03-05T08:00:00+08:00,4.56,4.54,4.54,85746000.0
2014-03-06T08:00:00+08:00,4.58,4.49,4.5,23768000.0
2014-03-07T08:00:00+08:00,4.5,4.43,4.44,25788000.0
2014-03-10T08:00:00+08:00,4.46,4.46,4.54,50231000.0
2014-03-11T08:00:00+08:00,4.54,4.52,4.53,66891000.0
2014-03-12T08:00:00+08:00,4.53,4.48,4.53,49767000.0
2014-03-13T08:00:00+08:00,4.53,4.51,4.52,8566000.0
2014-03-14T08:00:00+08:00,4.51,4.49,4.53,19703000.0
2014-03-17T08:00:00+08:00,4.53,4.51,4.54,37466000.0
2014-03-18T08:00:00+08:00,4.55,4.55,4.7,58809000.0
2014-03-19T08:00:00+08:00,4.7,4.64,4.67,64107000.0
2014-03-20T08:00:00+08:00,4.67,4.58,4.64,39736000.0
2014-03-21T08:00:00+08:00,4.64,4.61,4.63,34952000.0
2014-03-24T08:00:00+08:00,4.63,4.63,4.68,25098000.0
2014-03-25T08:00:00+08:00,4.66,4.62,4.66,16773000.0
2014-03-26T08:00:00+08:00,4.7,4.66,4.7,11018000.0
2014-03-27T08:00:00+08:00,4.71,4.69,4.69,14528000.0
2014-03-28T08:00:00+08:00,4.73,4.71,4.74,24728000.0
2014-03-31T08:00:00+08:00,4.75,4.71,4.73,17830000.0
2014-04-01T08:00:00+08:00,4.72,4.7,4.76,43081000.0
2014-04-02T08:00:00+08:00,4.75,4.74,4.79,54340000.0
2014-04-03T08:00:00+08:00,4.79,4.75,4.76,11496000.0
2014-04-04T08:00:00+08:00,4.77,4.76,4.77,22322000.0
2014-04-07T08:00:00+08:00,4.77,4.77,4.9,30910000.0
2014-04-08T08:00:00+08:00,4.93,4.83,4.86,4490000.0
2014-04-10T08:00:00+08:00,5.0,4.94,4.97,42586000.0
2014-04-11T08:00:00+08:00,4.95,4.89,4.95,10264000.0
2014-04-14T08:00:00+08:00,4.92,4.92,4.93,10909000.0
2014-04-15T08:00:00+08:00,4.95,4.94,4.96,19296000.0
2014-04-16T08:00:00+08:00,4.98,4.97,5.08,36473000.0
2014-04-21T08:00:00+08:00,5.1,5.1,5.19,33057300.0
2014-04-22T08:00:00+08:00,5.19,5.18,5.26,53702200.0
2014-04-23T08:00:00+08:00,5.26,5.2,5.22,35096000.0
2014-04-24T08:00:00+08:00,5.22,5.13,5.2,32504500.0
2014-04-25T08:00:00+08:00,5.2,5.13,5.14,16286400.0
2014-04-28T08:00:00+08:00,5.14,4.99,5.0,27237000.0
2014-04-29T08:00:00+08:00,5.01,4.97,4.98,12973300.0
2014-04-30T08:00:00+08:00,4.98,4.98,5.07,17726000.0
2014-05-02T08:00:00+08:00,5.09,5.05,5.05,10202700.0
2014-05-05T08:00:00+08:00,5.0,5.0,5.12,14993400.0
2014-05-06T08:00:00+08:00,5.1,5.09,5.09,8585800.0
2014-05-07T08:00:00+08:00,5.09,5.06,5.08,10526500.0
2014-05-08T08:00:00+08:00,5.2,5.1,5.12,35456600.0
2014-05-09T08:00:00+08:00,5.18,5.13,5.2,20401100.0
2014-05-12T08:00:00+08:00,5.13,5.13,5.25,15917500.0
2014-05-13T08:00:00+08:00,5.25,5.19,5.21,17123700.0
2014-05-14T08:00:00+08:00,5.22,5.22,5.23,20149900.0
2014-05-15T08:00:00+08:00,5.23,5.1,5.16,5317200.0
2014-05-16T08:00:00+08:00,5.14,5.1,5.17,94531500.0
2014-05-19T08:00:00+08:00,5.16,5.16,5.26,44788800.0
2014-05-20T08:00:00+08:00,5.26,5.25,5.3,36471500.0
2014-05-21T08:00:00+08:00,5.25,5.18,5.18,27933700.0
2014-05-22T08:00:00+08:00,5.18,5.18,5.28,27413100.0
2014-05-23T08:00:00+08:00,5.25,5.16,5.2,27666500.0
2014-05-26T08:00:00+08:00,5.2,5.08,5.15,46665500.0
2014-05-27T08:00:00+08:00,5.15,5.12,5.2,15060100.0
2014-05-28T08:00:00+08:00,5.2,5.15,5.23,32642000.0
2014-05-29T08:00:00+08:00,5.2,5.12,5.13,12247200.0
2014-05-30T08:00:00+08:00,5.08,4.92,5.0,55277900.0
2014-06-02T08:00:00+08:00,5.01,5.01,5.21,19994700.0
2014-06-03T08:00:00+08:00,5.21,5.15,5.19,15107000.0
2014-06-04T08:00:00+08:00,5.15,5.14,5.29,20999200.0
2014-06-05T08:00:00+08:00,5.25,5.18,5.25,25905600.0
