time,open,low,close,volume
2014-01-02T08:00:00+08:00,37.95,37.95,39.0,1518600.0
2014-01-03T08:00:00+08:00,39.0,38.5,39.2,2875500.0
2014-01-06T08:00:00+08:00,39.5,38.9,39.0,2009400.0
2014-01-07T08:00:00+08:00,39.0,38.85,39.1,1545300.0
2014-01-08T08:00:00+08:00,39.2,39.05,39.2,3844900.0
2014-01-09T08:00:00+08:00,39.5,39.0,39.15,975100.0
2014-01-10T08:00:00+08:00,39.1,38.45,38.7,2853700.0
2014-01-13T08:00:00+08:00,38.7,38.55,39.0,2890300.0
2014-01-14T08:00:00+08:00,39.0,38.3,38.9,1611000.0
2014-01-15T08:00:00+08:00,38.55,38.1,38.85,367600.0
2014-01-16T08:00:00+08:00,39.0,39.0,39.0,2891600.0
2014-01-17T08:00:00+08:00,39.0,38.8,39.0,2100300.0
2014-01-20T08:00:00+08:00,39.0,38.85,38.85,2102600.0
2014-01-21T08:00:00+08:00,38.8,38.75,39.1,1562900.0
2014-01-22T08:00:00+08:00,39.1,39.1,39.55,1154000.0
2014-01-23T08:00:00+08:00,39.55,39.5,39.5,1808600.0
2014-01-24T08:00:00+08:00,39.5,39.5,39.6,810400.0
2014-01-27T08:00:00+08:00,39.0,38.65,39.0,1836700.0
2014-01-28T08:00:00+08:00,38.7,38.5,38.65,790500.0
2014-01-29T08:00:00+08:00,38.65,38.65,38.8,4179400.0
2014-01-30T08:00:00+08:00,38.3,38.1,38.5,2018800.0
2014-02-03T08:00:00+08:00,38.5,38.25,38.4,1841200.0
2014-02-04T08:00:00+08:00,38.2,37.9,38.3,3451900.0
2014-02-05T08:00:00+08:00,38.3,38.3,38.65,5586300.0
2014-02-06T08:00:00+08:00,38.65,38.65,39.0,3277100.0
2014-02-07T08:00:00+08:00,39.1,39.0,39.0,1325400.0
2014-02-10T08:00:00+08:00,39.2,39.2,40.2,2548600.0
2014-02-11T08:00:00+08:00,40.2,40.0,41.05,2762100.0
2014-02-12T08:00:00+08:00,41.2,41.15,41.4,2531900.0
2014-02-13T08:00:00+08:00,41.4,41.05,41.1,1853200.0
2014-02-14T08:00:00+08:00,41.5,41.0,41.1,1144900.0
2014-02-17T08:00:00+08:00,41.1,41.1,42.65,3531500.0
2014-02-18T08:00:00+08:00,42.45,41.7,41.7,1871900.0
2014-02-19T08:00:00+08:00,42.5,42.0,43.8,1574600.0
2014-02-20T08:00:00+08:00,43.4,42.35,44.5,4155800.0
2014-02-21T08:00:00+08:00,44.25,43.5,43.7,4741400.0
2014-02-24T08:00:00+08:00,43.65,43.65,45.0,3864800.0
2014-02-25T08:00:00+08:00,45.0,44.2,44.6,5116700.0
2014-02-26T08:00:00+08:00,44.65,44.3,45.2,3193100.0
2014-02-27T08:00:00+08:00,45.15,45.0,45.5,1762500.0
2014-02-28T08:00:00+08:00,45.5,45.5,46.7,3034400.0
2014-03-03T08:00:00+08:00,46.5,45.6,45.75,4195300.0
2014-03-04T08:00:00+08:00,45.7,45.0,45.55,3120600.0
2014-03-05T08:00:00+08:00,46.0,45.0,45.15,2073900.0
2014-03-06T08:00:00+08:00,45.2,45.0,45.0,2473700.0
2014-03-07T08:00:00+08:00,45.05,44.8,44.95,859500.0
2014-03-10T08:00:00+08:00,44.95,44.95,45.05,487200.0
2014-03-11T08:00:00+08:00,45.05,44.65,44.85,1880800.0
2014-03-12T08:00:00+08:00,44.85,44.2,44.35,1208600.0
2014-03-13T08:00:00+08:00,44.3,44.3,45.4,2193100.0
2014-03-14T08:00:00+08:00,45.4,44.9,45.7,376200.0
2014-03-17T08:00:00+08:00,45.6,45.3,45.6,691000.0
2014-03-18T08:00:00+08:00,45.6,45.0,45.2,1043000.0
2014-03-19T08:00:00+08:00,45.2,45.15,45.5,1335200.0
2014-03-20T08:00:00+08:00,45.0,43.9,44.0,1974100.0
2014-03-21T08:00:00+08:00,44.2,43.8,44.0,3250300.0
2014-03-24T08:00:00+08:00,44.0,44.0,44.3,834000.0
2014-03-25T08:00:00+08:00,44.5,44.3,44.9,1995700.0
2014-03-26T08:00:00+08:00,44.9,43.8,44.0,3442300.0
2014-03-27T08:00:00+08:00,44.0,43.6,43.95,2979900.0
2014-03-28T08:00:00+08:00,43.95,43.75,43.95,3371600.0
2014-03-31T08:00:00+08:00,44.5,43.95,44.0,2901700.0
2014-04-01T08:00:00+08:00,44.05,43.9,44.0,2531700.0
2014-04-02T08:00:00+08:00,44.0,44.0,45.75,6288200.0
2014-04-03T08:00:00+08:00,45.8,45.2,46.5,2361600.0
2014-04-04T08:00:00+08:00,46.5,45.55,45.55,2040600.0
2014-04-07T08:00:00+08:00,45.7,45.0,45.5,3955900.0
2014-04-08T08:00:00+08:00,45.5,44.9,45.1,4114400.0
2014-04-10T08:00:00+08:00,45.2,44.3,44.35,5501500.0
2014-04-11T08:00:00+08:00,44.45,44.45,44.6,4184800.0
2014-04-14T08:00:00+08:00,45.0,44.5,44.6,2679200.0
2014-04-15T08:00:00+08:00,45.0,44.35,44.35,2203300.0
2014-04-16T08:00:00+08:00,44.45,44.4,44.65,2962900.0
2014-04-21T08:00:00+08:00,44.75,44.7,45.1,1028600.0
2014-04-22T08:00:00+08:00,45.5,45.4,45.9,1936600.0
2014-04-23T08:00:00+08:00,45.9,45.3,45.4,874600.0
2014-04-24T08:00:00+08:00,45.4,45.2,45.3,1231700.0
2014-04-25T08:00:00+08:00,45.3,44.5,45.0,4052600.0
2014-04-28T08:00:00+08:00,45.0,45.0,45.2,1608900.0
2014-04-29T08:00:00+08:00,45.2,44.65,45.8,1824800.0
2014-04-30T08:00:00+08:00,45.75,45.55,45.95,3252100.0
2014-05-02T08:00:00+08:00,46.0,45.8,46.0,1304400.0
2014-05-05T08:00:00+08:00,46.0,45.5,46.0,959700.0
2014-05-06T08:00:00+08:00,46.0,45.6,46.0,1900300.0
2014-05-07T08:00:00+08:00,46.2,45.5,45.55,1560900.0
2014-05-08T08:00:00+08:00,45.75,45.6,45.75,1756500.0
2014-05-09T08:00:00+08:00,46.15,45.85,46.0,1717800.0
2014-05-12T08:00:00+08:00,46.0,45.85,46.0,2854700.0
2014-05-13T08:00:00+08:00,45.95,45.85,48.0,27335300.0
2014-05-14T08:00:00+08:00,48.0,47.9,48.15,2761300.0
2014-05-15T08:00:00+08:00,48.2,46.4,46.5,4505800.0
2014-05-16T08:00:00+08:00,46.45,43.05,43.9,15217700.0
2014-05-19T08:00:00+08:00,43.9,42.1,42.25,9976100.0
2014-05-20T08:00:00+08:00,42.25,42.25,42.45,6774300.0
2014-05-21T08:00:00+08:00,42.45,41.6,41.6,4642100.0
2014-05-22T08:00:00+08:00,42.0,40.1,41.95,14128200.0
2014-05-23T08:00:00+08:00,42.2,40.5,41.1,3899000.0
2014-05-26T08:00:00+08:00,41.1,40.55,41.1,5478700.0
2014-05-27T08:00:00+08:00,41.3,41.25,42.65,3256500.0
2014-05-28T08:00:00+08:00,42.9,42.9,43.3,5481200.0
2014-05-29T08:00:00+08:00,43.0,40.9,41.4,5155200.0
2014-05-30T08:00:00+08:00,41.6,41.2,41.8,2930800.0
2014-06-02T08:00:00+08:00,42.0,41.3,41.45,1062800.0
2014-06-03T08:00:00+08:00,41.45,41.3,41.5,2453000.0
2014-06-04T08:00:00+08:00,41.7,41.55,42.5,1806800.0
2014-06-05T08:00:00+08:00,42.8,42.6,43.8,3268900.0
2014-06-06T08:00:00+08:00,43.9,43.5,43.65,1527100.0
2014-06-09T08:00:00+08:00,43.6,43.15,43.25,3717200.0
2014-06-10T08:00:00+08:00,43.1,41.9,42.05,4154200.0
2014-06-11T08:00:00+08:00,42.1,41.6,41.65,3973300.0
2014-06-13T08:00:00+08:00,42.0,41.85,42.0,2221300.0
2014-06-16T08:00:00+08:00,42.0,42.0,43.25,5358900.0
2014-06-17T08:00:00+08:00,43.3,43.15,43.3,1830600.0
2014-06-18T08:00:00+08:00,43.3,42.5,42.95,2443000.0
2014-06-19T08:00:00+08:00,42.95,42.9,43.1,590800.0
2014-06-20T08:00:00+08:00,43.2,42.85,43.1,1243500.0
2014-06-23T08:00:00+08:00,43.05,42.55,42.6,2243500.0
2014-06-24T08:00:00+08:00,42.6,42.4,42.4,1573000.0
2014-06-25T08:00:00+08:00,42.6,42.4,43.0,1625800.0
2014-06-26T08:00:00+08:00,42.95,42.45,42.45,3388500.0
2014-06-27T08:00:00+08:00,43.0,42.7,43.0,2118800.0
2014-06-30T08:00:00+08:00,43.7,43.05,43.4,2997600.0
2014-07-01T08:00:00+08:00,43.5,43.4,43.4,626800.0
2014-07-02T08:00:00+08:00,43.5,43.4,43.55,630600.0
2014-07-03T08:00:00+08:00,43.65,43.6,44.8,6035900.0
2014-07-04T08:00:00+08:00,44.8,44.75,45.5,2171100.0
2014-07-07T08:00:00+08:00,45.5,45.2,45.75,2129000.0
2014-07-08T08:00:00+08:00,45.75,44.4,44.5,1435100.0
2014-07-09T08:00:00+08:00,44.45,43.55,43.55,788100.0
2014-07-10T08:00:00+08:00,44.0,43.8,43.85,913500.0
2014-07-11T08:00:00+08:00,43.8,43.6,43.7,1027600.0
2014-07-14T08:00:00+08:00,43.7,42.5,42.75,3442400.0
2014-07-15T08:00:00+08:00,42.8,42.05,42.05,1776200.0
2014-07-17T08:00:00+08:00,42.1,41.9,42.25,4221900.0
2014-07-18T08:00:00+08:00,42.1,41.4,41.5,4818300.0
2014-07-21T08:00:00+08:00,41.5,41.5,42.1,2003400.0
2014-07-22T08:00:00+08:00,42.6,42.15,42.6,1604300.0
2014-07-23T08:00:00+08:00,42.7,42.7,43.2,896700.0
2014-07-24T08:00:00+08:00,43.15,42.9,42.9,308900.0
2014-07-25T08:00:00+08:00,42.9,42.65,42.8,518100.0
2014-07-28T08:00:00+08:00,42.5,42.2,42.3,416000.0
2014-07-30T08:00:00+08:00,42.3,42.3,43.0,1148000.0
2014-07-31T08:00:00+08:00,42.8,42.0,42.15,1266200.0
2014-08-01T08:00:00+08:00,41.9,41.5,42.0,1081500.0
2014-08-04T08:00:00+08:00,41.7,41.7,42.05,1586800.0
2014-08-05T08:00:00+08:00,42.15,41.85,42.05,4327500.0
2014-08-06T08:00:00+08:00,42.0,42.0,42.0,1649900.0
2014-08-07T08:00:00+08:00,42.15,42.0,42.1,626400.0
2014-08-08T08:00:00+08:00,42.0,41.8,41.85,1866700.0
2014-08-11T08:00:00+08:00,41.85,41.8,42.05,179500.0
2014-08-12T08:00:00+08:00,42.1,41.75,41.9,2493300.0
2014-08-13T08:00:00+08:00,41.9,41.9,42.0,3428200.0
2014-08-14T08:00:00+08:00,42.0,39.0,39.5,11494400.0
2014-08-15T08:00:00+08:00,39.5,35.55,36.05,28232700.0
2014-08-18T08:00:00+08:00,36.4,33.35,34.25,28993900.0
2014-08-19T08:00:00+08:00,34.5,34.0,34.2,12385500.0
2014-08-20T08:00:00+08:00,34.6,34.1,34.1,10442100.0
2014-08-22T08:00:00+08:00,34.3,34.3,34.95,6438600.0
