time,open,low,close,volume
2014-01-02T08:00:00+08:00,57.2,57.2,58.0,836140.0
2014-01-03T08:00:00+08:00,58.0,58.0,58.1,992050.0
2014-01-06T08:00:00+08:00,58.1,58.0,58.1,3895140.0
2014-01-07T08:00:00+08:00,58.1,57.95,58.0,709780.0
2014-01-08T08:00:00+08:00,58.0,58.0,58.1,455450.0
2014-01-09T08:00:00+08:00,58.1,57.95,58.0,982770.0
2014-01-10T08:00:00+08:00,58.0,57.7,58.0,365500.0
2014-01-13T08:00:00+08:00,57.75,57.5,58.0,378260.0
2014-01-14T08:00:00+08:00,58.25,57.0,58.0,303240.0
2014-01-15T08:00:00+08:00,58.0,58.0,58.2,1288030.0
2014-01-16T08:00:00+08:00,57.5,57.5,58.0,48830.0
2014-01-17T08:00:00+08:00,58.0,58.0,58.25,28070.0
2014-01-20T08:00:00+08:00,58.0,57.1,57.1,388630.0
2014-01-21T08:00:00+08:00,56.6,56.45,57.05,1182990.0
2014-01-22T08:00:00+08:00,57.1,57.1,58.0,2418250.0
2014-01-23T08:00:00+08:00,58.15,58.15,58.3,1204500.0
2014-01-24T08:00:00+08:00,57.7,57.65,58.3,235190.0
2014-01-27T08:00:00+08:00,58.2,58.0,58.85,1225730.0
2014-01-28T08:00:00+08:00,58.8,58.1,58.3,278980.0
2014-01-29T08:00:00+08:00,58.6,58.6,59.85,3166100.0
2014-01-30T08:00:00+08:00,59.8,59.1,59.5,2668660.0
2014-02-03T08:00:00+08:00,59.5,58.95,58.95,2426930.0
2014-02-04T08:00:00+08:00,58.9,57.0,57.95,1540690.0
2014-02-05T08:00:00+08:00,58.5,57.05,57.6,2486290.0
2014-02-06T08:00:00+08:00,57.6,57.4,57.6,3953430.0
2014-02-07T08:00:00+08:00,57.7,57.7,59.0,3049000.0
2014-02-10T08:00:00+08:00,59.0,59.0,64.0,1691460.0
2014-02-11T08:00:00+08:00,64.15,63.95,64.0,4495260.0
2014-02-12T08:00:00+08:00,65.2,62.1,62.1,1762480.0
2014-02-13T08:00:00+08:00,62.0,61.6,61.7,626210.0
2014-02-14T08:00:00+08:00,62.9,61.75,62.0,3922220.0
2014-02-17T08:00:00+08:00,63.3,62.05,62.1,684010.0
2014-02-18T08:00:00+08:00,62.2,62.0,62.5,403560.0
